p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5
3.189671762,67.84611812,0.157852349,1.961912339,67.45954878,0.159355705,2.072355979,66.2510085,0.154845638,3.663306281,67.37456618,0.151838926,3.260367083,66.8462734,0.151838926,2.917828984,65.69169919,0.151838926
3.09876372,68.16367533,0.160671141,1.892749515,67.85540186,0.162201342,2.071362627,66.67392249,0.157610738,3.561045255,67.8230162,0.154550336,3.204050293,67.13693316,0.154550336,2.867585496,66.05405632,0.154550336
3.027356286,68.47730875,0.163489933,1.844441835,68.24970999,0.16504698,2.081440056,67.08499573,0.160375839,3.4669705,68.26633801,0.157261745,3.15071998,67.4265346,0.157261745,2.808691124,66.40747845,0.157261745
2.984006808,68.78510106,0.166308725,1.826547394,68.64124871,0.167892617,2.102508127,67.47626441,0.16314094,3.383556071,68.70427407,0.159973154,3.10027071,67.71499588,0.159973154,2.740328648,66.75171943,0.159973154
2.960138537,69.08818748,0.169127517,1.865219742,69.02389679,0.170738255,2.126635358,67.85094564,0.16590604,3.357109211,69.13015631,0.162684564,3.054126985,68.00046476,0.162684564,2.671403951,67.07845051,0.162684564
2.9561938,69.38615075,0.171946309,1.924262815,69.39850648,0.173583893,2.153302191,68.21223471,0.168671141,3.355712775,69.54872112,0.165395973,3.011221245,68.28399019,0.165395973,2.614660425,67.39585241,0.165395973
2.972550834,69.67489879,0.174765101,1.996298111,69.76432617,0.17642953,2.183590807,68.55506546,0.171436242,3.377202681,69.95988171,0.168107383,2.971734051,68.56554839,0.168107383,2.570691585,67.70392956,0.168107383
2.992611895,69.95800599,0.177583893,2.060074894,70.11515919,0.179275168,2.223754451,68.87876811,0.174201342,3.394277769,70.35594554,0.170818792,2.942139389,68.84312766,0.170818792,2.558028868,67.99506132,0.170818792
3.015388427,70.23549783,0.180402685,2.098116911,70.45077894,0.182120805,2.271364133,69.18947775,0.176966443,3.387531821,70.74214328,0.173530201,2.921989224,69.11829926,0.173530201,2.559383793,68.276487,0.173530201
3.038974566,70.50484811,0.183221477,2.118342882,70.77374391,0.184966443,2.328125023,69.48512293,0.179731544,3.360673498,71.11901686,0.176241611,2.911326446,69.39124709,0.176241611,2.57304275,68.54897758,0.176241611
3.068815477,70.76790166,0.186040268,2.12102876,71.08221245,0.187812081,2.385005941,69.76110368,0.182496644,3.316189927,71.47842834,0.17895302,2.923120845,69.66046156,0.17895302,2.601865319,68.80672079,0.17895302
3.106925861,71.02630593,0.18885906,2.124288283,71.36986388,0.190657718,2.433545297,70.02591997,0.185261745,3.299417225,71.82521255,0.18166443,2.953109048,69.92741666,0.18166443,2.642576534,69.05562839,0.18166443
3.158456346,71.27958523,0.191677852,2.139418787,71.64464815,0.193503356,2.471963009,70.27978482,0.188026846,3.311785395,72.16107883,0.184375839,2.998235261,70.19252729,0.184375839,2.69421459,69.29734548,0.184375839
3.228185425,71.52783074,0.194496644,2.168405039,71.9068031,0.196348993,2.493307574,70.51646587,0.190791946,3.396921866,72.47845793,0.187087248,3.066314069,70.45500769,0.187087248,2.767282601,69.52891702,0.187087248
3.30456222,71.77362882,0.197315436,2.220947996,72.15139519,0.199194631,2.520559005,70.74497074,0.193557047,3.518376772,72.7814384,0.189798658,3.145108521,70.71600243,0.189798658,2.850651363,69.75481439,0.189798658
3.385531934,72.01727544,0.200134228,2.287743915,72.38316124,0.202040268,2.557022534,70.965782,0.196322148,3.65480269,73.07311382,0.192510067,3.230193763,70.97600924,0.192510067,2.936832093,69.97687245,0.192510067
3.460085513,72.25898812,0.20295302,2.363694291,72.60507103,0.204885906,2.628590708,71.17635572,0.199087248,3.776299268,73.34753356,0.195221477,3.318960373,71.23500611,0.195221477,3.012588982,70.19478788,0.195221477
3.524243695,72.50052881,0.205771812,2.447449666,72.81637739,0.207731544,2.724889736,71.38108052,0.201852349,3.849736076,73.6076079,0.197932886,3.405437682,71.49394355,0.197932886,3.059226995,70.4113756,0.197932886
3.579092496,72.74225212,0.208590604,2.533604475,73.01622191,0.210577181,2.83329647,71.58158667,0.20461745,3.891414147,73.85753901,0.200644295,3.488917131,71.75313607,0.200644295,3.084286244,70.62761692,0.200644295
3.621994401,72.98504782,0.211409396,2.615398809,73.21001809,0.213422819,2.941430114,71.77744381,0.20738255,3.89330461,74.09346504,0.203355705,3.565736789,72.01322374,0.203355705,3.077742354,70.84446264,0.203355705
3.661292512,73.22996208,0.214228188,2.69068837,73.39833169,0.216268456,3.021542002,71.97072409,0.210147651,3.898718085,74.31710625,0.206067114,3.630785622,72.27513849,0.206067114,3.065482451,71.06332256,0.206067114
3.702974678,73.47670577,0.21704698,2.747792084,73.58061464,0.219114094,3.082494043,72.16301676,0.212912752,3.919075006,74.53302312,0.208778523,3.686528971,72.53860625,0.208778523,3.062062325,71.28385855,0.208778523
3.750307931,73.72559511,0.219865772,2.792293202,73.76028248,0.221959732,3.120912323,72.35480864,0.215677852,3.973806625,74.73926887,0.211489933,3.728277864,72.80451585,0.211489933,3.085012551,71.50699718,0.211489933
3.814752119,73.97764668,0.222684564,2.83115961,73.93832257,0.224805369,3.162732134,72.5480134,0.218442953,4.067284664,74.93657565,0.214201342,3.760561577,73.07378566,0.214201342,3.153176623,71.7333309,0.214201342
3.888506424,74.2311154,0.225503356,2.87018398,74.11523381,0.227651007,3.221466638,72.74295727,0.221208054,4.17545349,75.12888072,0.216912752,3.794323574,73.34534328,0.216912752,3.243050709,71.96163937,0.216912752
3.969924735,74.48576737,0.228322148,2.927554294,74.29181043,0.230496644,3.301424164,72.9399025,0.223973154,4.294880205,75.31541099,0.219624161,3.835320457,73.61987494,0.219624161,3.355061664,72.19238037,0.219624161
4.053406557,74.74105176,0.23114094,2.997617096,74.46819647,0.233342282,3.417425803,73.14181213,0.226738255,4.403777715,75.49609184,0.22233557,3.905415641,73.89823131,0.22233557,3.459625875,72.42568482,0.22233557
4.128128853,74.9954184,0.233959732,3.07881421,74.64435056,0.236187919,3.537137685,73.34702202,0.229503356,4.5015733,75.67380007,0.22504698,3.993876812,74.17873318,0.22504698,3.550509929,72.66014237,0.22504698
4.195156233,75.24843251,0.236778523,3.157054768,74.81950202,0.239033557,3.657409743,73.55559311,0.232268456,4.584413258,75.84827901,0.227758389,4.104091241,74.46166738,0.227758389,3.621551071,72.89577727,0.227758389
4.25208053,75.49895637,0.239597315,3.215078525,74.99316644,0.241879195,3.756689866,73.77004353,0.235033557,4.644793817,76.01908497,0.230469799,4.222646042,74.74729122,0.230469799,3.674187502,73.13188311,0.230469799
4.312077631,75.7448447,0.242416107,3.254703982,75.1651722,0.244724832,3.834047616,73.98879067,0.237798658,4.69427744,76.18820764,0.233181208,4.330557762,75.03375438,0.233181208,3.72840269,73.36752862,0.233181208
4.38412912,75.98686328,0.245234899,3.270918852,75.33456247,0.24757047,3.893498319,74.21110179,0.240563758,4.732490841,76.35561515,0.235892617,4.423624885,75.32096401,0.235892617,3.7869955,73.60251809,0.235892617
4.471582559,76.22474983,0.248053691,3.286362842,75.49993016,0.250416107,3.929021179,74.43831457,0.243328859,4.762483523,76.52084461,0.238604027,4.476426177,75.60729964,0.238604027,3.86140126,73.83463494,0.238604027
4.58982017,76.45441697,0.250872483,3.316206102,75.66194257,0.253261745,3.94863558,74.6693265,0.24609396,4.796778185,76.68514607,0.241315436,4.514991002,75.89186767,0.241315436,3.933706199,74.06429275,0.241315436
4.713397834,76.67844106,0.253691275,3.365658501,75.82037112,0.256107383,3.962019816,74.90252566,0.24885906,4.836219789,76.84854405,0.244026846,4.540258423,76.17453507,0.244026846,4.002756288,74.29140152,0.244026846
4.835788521,76.89684315,0.256510067,3.449827182,75.97192472,0.25895302,3.972893982,75.137876,0.251624161,4.897843566,77.01054407,0.246738255,4.570383441,76.45089689,0.246738255,4.038466035,74.51199319,0.246738255
4.936692722,77.10682645,0.259328859,3.536889485,76.11828471,0.261798658,4.00484606,75.37372581,0.254389262,4.968012744,77.171845,0.249449664,4.612245514,76.72242665,0.249449664,4.056263847,74.72815693,0.249449664
5.001221119,77.30836034,0.262147651,3.618379465,76.25956277,0.264644295,4.059496086,75.60866823,0.257154362,5.045251249,77.33245204,0.252161074,4.665042271,76.98907125,0.252161074,4.058456896,74.93987324,0.252161074
5.039959039,77.50320338,0.264966443,3.675075823,76.39380666,0.267489933,4.141191209,75.84223492,0.259919463,5.11665771,77.49170654,0.254872483,4.729224775,77.24495721,0.254872483,4.060416436,75.14219251,0.254872483
