p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5,p_6,v_6,t_6
6.473401031,56.18311079,0.102362416,6.673685825,52.58802381,0.099033557,8.593091504,53.36733359,0.094040268,5.941183954,53.06145686,0.094872483,6.792160108,50.39354988,0.092375839,6.810828577,49.25921287,0.091543624,6.058600667,47.82687705,0.094040268
5.725424394,55.84399803,0.10566443,6.131255578,52.40753954,0.102228188,7.818941031,53.15368213,0.097073826,5.332110411,52.96476768,0.097932886,6.306595881,50.35838873,0.095355705,6.169128572,49.42036912,0.094496644,5.551913544,48.06185791,0.097073826
5.07119767,55.56403135,0.108966443,5.667201648,52.28302799,0.105422819,7.107587429,52.95760192,0.100107383,4.795973326,52.89751009,0.100993289,5.849582222,50.36698035,0.09833557,5.613420312,49.61732462,0.097449664,5.073037739,48.31879789,0.100107383
4.533433895,55.35011491,0.112268456,5.263402078,52.2200578,0.10861745,6.508320326,52.796634,0.10314094,4.293844727,52.86391515,0.104053691,5.400372672,50.41541256,0.101315436,5.147836354,49.85243939,0.100402685,4.549495975,48.61104634,0.10314094
4.142903966,55.22205222,0.11557047,4.907688257,52.22964664,0.111812081,6.01967339,52.66939266,0.106174497,3.778193656,52.88835166,0.107114094,4.955797848,50.50579068,0.104295302,4.802346919,50.14380567,0.103355705,4.049145226,48.93245325,0.106174497
3.853893147,55.1832963,0.118872483,4.600421769,52.33175207,0.115006711,5.626651772,52.57820471,0.109208054,3.274799055,52.96180912,0.110174497,4.554184061,50.65805318,0.107275168,4.538344152,50.49090345,0.106308725,3.6283459,49.28289867,0.109208054
3.608291092,55.23030952,0.122174497,4.333073404,52.51150081,0.118201342,5.315099906,52.52665608,0.112241611,2.819000508,53.08650015,0.113234899,4.231513301,50.8656792,0.110255034,4.31836997,50.88578762,0.109261745,3.331262207,49.66350607,0.112241611
3.374050633,55.36637168,0.12547651,4.103566087,52.77069702,0.121395973,5.038301836,52.53626868,0.115275168,2.44170808,53.26552062,0.116295302,3.979274234,51.12279199,0.113234899,4.127008985,51.32949561,0.112214765,3.234658355,50.08673794,0.115275168
3.134187491,55.59398839,0.128778523,3.907028751,53.11046955,0.124590604,4.730566606,52.60295055,0.118308725,2.209816523,53.52053572,0.119355705,3.795900988,51.43037444,0.116214765,3.936643244,51.84482495,0.115167785,3.216938904,50.54610669,0.118308725
2.8898623,55.91488513,0.132080537,3.735448674,53.53837902,0.127785235,4.401497043,52.7239535,0.121342282,2.079883639,53.84563608,0.122416107,3.679453438,51.81119537,0.119194631,3.733965847,52.41514862,0.118120805,3.199804241,51.03782484,0.121342282
2.671028344,56.35203879,0.13538255,3.577864084,54.06505979,0.130979866,4.06528341,52.90171738,0.124375839,1.994439645,54.2336059,0.12547651,3.591680628,52.25095985,0.122174497,3.528435874,53.03381513,0.121073826,3.138587446,51.56174123,0.124375839
2.496858076,56.88488157,0.138684564,3.4368361,54.6676855,0.134174497,3.782098596,53.15650259,0.127409396,1.91955823,54.68522785,0.128536913,3.52363674,52.74433481,0.125154362,3.326837667,53.69994044,0.124026846,2.981101874,52.12619849,0.127409396
2.370849169,57.50804861,0.141986577,3.326527737,55.34294112,0.137369128,3.598023584,53.48516567,0.130442953,1.807097939,55.21326692,0.131597315,3.470148107,53.29167957,0.128134228,3.176387522,54.43407431,0.126979866,2.798644298,52.72590649,0.130442953
2.292689659,58.21804834,0.145288591,3.262032806,56.08704522,0.140563758,3.486568727,53.87737724,0.13347651,1.643213501,55.82134554,0.134657718,3.419858094,53.9177558,0.131114094,3.079968243,55.20883457,0.129932886,2.648813312,53.35347527,0.13347651
2.259335706,59.01041308,0.148590604,3.265575017,56.90143141,0.143758389,3.431246816,54.33366591,0.136510067,1.468117602,56.49208138,0.137718121,3.351219284,54.60116282,0.13409396,3.032714965,56.02132795,0.132885906,2.557571603,54.00716522,0.136510067
2.268409148,59.88252357,0.151892617,3.338177957,57.7853973,0.14695302,3.399767501,54.86860352,0.139543624,1.306780765,57.22420062,0.140778523,3.263900616,55.3373338,0.137073826,3.033644343,56.87183466,0.135838926,2.554475014,54.68919211,0.139543624
2.316520384,60.83770349,0.155194631,3.434425189,58.71844929,0.150147651,3.359477186,55.48332485,0.142577181,1.193603396,58.02052952,0.143838926,3.157553472,56.12545734,0.140053691,3.054441472,57.76562171,0.138791946,2.583829743,55.39427002,0.142577181
2.379049851,61.85140279,0.158496644,3.525667136,59.69526919,0.153342282,3.322547018,56.16096826,0.145610738,1.171429197,58.89311038,0.146899329,3.070228579,56.98714256,0.143033557,3.066058957,58.68376678,0.141744966,2.60004227,56.11393456,0.145610738
2.439486512,62.91647066,0.161798658,3.586243515,60.71062465,0.156536913,3.298682319,56.90046616,0.148644295,1.196310805,59.81682262,0.149959732,3.04411346,57.89554672,0.146013423,3.06700216,59.62378602,0.144697987,2.591695506,56.84564242,0.148644295
2.485032596,64.02576683,0.165100671,3.58913803,61.76225685,0.159731544,3.307150915,57.70950787,0.151677852,1.244847308,60.788389,0.153020134,3.083283561,58.8470907,0.148993289,3.056554931,60.5855793,0.147651007,2.554148609,57.58760086,0.151677852
2.508367009,65.17218059,0.168402685,3.529178052,62.84515797,0.162926174,3.347681022,58.59270374,0.154711409,1.292305659,61.80442464,0.156080537,3.194262718,59.84006411,0.151973154,3.058820359,61.56570809,0.150604027,2.533508502,58.33627082,0.154711409
2.510128545,66.35085465,0.171704698,3.438724649,63.94777272,0.166120805,3.393230572,59.5283542,0.157744966,1.295002403,62.87365701,0.15914094,3.339990811,60.88682335,0.15495302,3.078084753,62.55569399,0.153557047,2.545684045,59.08768669,0.157744966
2.502869918,67.55207658,0.175006711,3.34101846,65.06596625,0.169315436,3.43529629,60.51344986,0.160778523,1.270177265,63.97430921,0.162201342,3.440300277,61.96377072,0.157932886,3.113143464,63.55371362,0.156510067,2.586058195,59.84062421,0.160778523
2.491748752,68.76479763,0.178308725,3.261649657,66.19569772,0.172510067,3.464682401,61.54841151,0.163812081,1.237736851,65.10037654,0.165261745,3.482266552,63.06806051,0.160912752,3.158170848,64.55843597,0.159463087,2.642215307,60.59380141,0.163812081
2.473963917,69.98279073,0.181610738,3.23919046,67.33314999,0.175704698,3.48788071,62.6364882,0.166845638,1.214245808,66.24726298,0.168322148,3.448205921,64.19784046,0.163892617,3.196320939,65.565304,0.162416107,2.661100918,61.34496608,0.166845638
2.447173334,71.20018689,0.184912752,3.308873554,68.47193649,0.178899329,3.514105865,63.75563685,0.169879195,1.22895911,67.41172757,0.17138255,3.369418349,65.35372922,0.166872483,3.232888175,66.57134819,0.165369128,2.64248233,62.09330695,0.169879195
2.412180729,72.41149178,0.188214765,3.440388386,69.60689327,0.18209396,3.54097082,64.90098295,0.172912752,1.272812282,68.58210495,0.174442953,3.318828938,66.52100793,0.169852349,3.27185636,67.57496929,0.168322148,2.599702124,62.83807462,0.172912752
2.385474461,73.6081711,0.191516779,3.597254403,70.7343936,0.185288591,3.56441888,66.06785668,0.175946309,1.327714847,69.75189426,0.177503356,3.306160193,67.69626449,0.172832215,3.330947823,68.57109007,0.171275168,2.550798763,63.57838055,0.175946309
2.393849246,74.78480078,0.194818792,3.734591501,71.85089219,0.188483221,3.566284719,67.25028838,0.178979866,1.385953249,70.91679217,0.180563758,3.344430309,68.87575057,0.175812081,3.397325462,69.55646279,0.174228188,2.550533162,64.3106394,0.178979866
